id_agree,rta_deep_std1,rta_deep_std2,rta_deep_std3,rta_deep_std4,rta_deep_std5,rta_deep_std6,rta_deep_std7,rta_deep_std8,rta_deep_std9,rta_deep_std10,rta_deep_std11,rta_deep_std12,rta_deep_std13,rta_deep_std14,rta_deep_std15,rta_deep_std16,rta_deep_std17,rta_deep_std18
190,2.1273637,2.2689269,2.4526265,3.0523374,2.7279358,4.2714992,0,4.788599,0,4.2460861,2.1756713,2.9887545,2.4876168,2.0820684,1.6374973,2.6081851,2.5307193,5.0301781
191,1.3562429,1.6307474,3.9469295,2.0735977,2.9584794,5.6131234,0,3.7199996,2.9091673,3.8059378,1.9651948,1.8035522,0,2.5505471,2.1952789,1.4154876,2.8274837,0
192,1.3562429,1.9849653,2.8615384,3.7561851,2.9347906,5.122685,0,4.8344221,0,0,1.9617889,2.2797053,0,0,1.3144341,2.0107105,2.3916216,0
194,3.1638811,2.1288841,3.9469295,2.405086,3.1985011,5.7132721,4.7312603,3.7199996,0,4.5305524,1.8634957,2.5307529,2.3288212,2.9286604,2.4405258,2.8020222,2.2812772,4.015708
195,1.6074414,2.4766843,2.0945559,4.1670718,3.1133275,6.8533483,5.0507102,5.1521831,4.4601994,4.6714201,2.1824086,2.9244685,2.448458,2.4246511,2.9819863,2.0107105,3.1931286,4.4158044
196,6.6336451,1.6252052,2.5769978,4.2060738,3.4238276,5.5398092,3.6014998,3.1260505,2.9569044,0,2.1708975,4.2231908,2.5408082,2.8192546,1.946031,2.2205243,2.0568025,4.5905628
197,3.5148358,2.3555725,3.4080093,4.0936923,3.1403,5.649951,4.0321193,4.3157506,4.1908431,4.8554282,2.1345248,3.0641849,2.571346,2.517812,1.6507428,2.9968135,2.7940824,4.6586046
198,5.09589,1.6966705,2.8615384,2.3464236,3.0348725,0,3.7647786,0,2.9318597,0,2.4679868,4.1414204,2.4293842,1.9540074,1.2410249,2.6813402,2.6446741,5.0715985
199,2.1273637,1.7859323,1.6942763,3.3519988,2.8194849,7.7292404,4.5195875,0,3.1394606,1.8693466,2.3518682,6.9023428,2.3954089,2.0813613,2.3520713,2.7860544,2.1474781,4.2606382
200,3.6436574,1.8379167,3.9469295,2.595145,3.1985011,5.7554622,4.7312603,3.7199996,3.3535092,4.5305524,1.9531779,2.7356951,2.4677365,2.9163537,2.4405258,1.7064022,2.4951332,4.3800893
201,2.1553695,2.0381157,1.6942763,4.9680829,3.7992291,0,5.0091171,5.3039303,3.516145,4.7051086,2.1041965,3.5616405,2.6439869,3.5060127,1.5223922,2.6424017,3.3725629,5.2766962
202,2.8646069,1.4744251,2.5769978,3.4414074,3.5084333,0,0,0,0,0,2.2543597,3.2004216,0,0,1.3615509,1.6174061,3.0325963,0
203,1.3562429,1.5433074,2.4526265,4.3072605,3.7470834,0,3.81071,3.1260505,0,4.0383348,2.0234013,3.6815159,2.4158881,2.8384085,1.3615509,2.4612889,2.4237449,3.9150393
204,1.3562429,2.2171614,2.5933368,1.8901249,2.8559315,0,3.9283018,4.3986096,3.1637943,0,1.9945978,4.1771955,2.6217995,2.5553303,1.4576114,2.6743777,2.4330044,4.8498559
205,1.3562429,1.7197154,1.6942763,3.0127404,0,3.8687086,4.4283938,3.1260505,2.7230816,3.1062155,2.4171896,4.1983924,2.5230005,1.7352823,2.4364202,2.9415185,2.4645212,4.5935197
206,2.1273637,1.9971436,1.6942763,4.30825,2.7279358,4.3494306,4.1280489,4.7159519,2.9317057,0,2.193687,3.3927739,2.4451509,2.0743606,1.6374973,2.6125,2.5573766,4.2884126
207,2.8646069,1.4934462,2.5769978,5.0681763,3.0958705,0,0,3.1260505,0,1.8693466,2.3894937,1.1698112,0,0,1.76235,0,2.251771,0
208,7.1370277,1.5833064,4.1518507,0,3.8192599,0,3.7696099,0,3.2656128,0,2.0925198,3.4637241,2.5352399,2.7630875,1.8591356,2.179369,2.1679831,3.599153
209,1.3562429,2.3992009,1.6942763,2.528919,3.0179632,5.6951909,4.628212,3.1260505,3.1556966,4.2698808,2.0730567,2.433213,2.4321284,1.7079301,1.8686619,3.0542257,2.3126581,4.0830107
210,1.6074414,1.7349548,2.8615384,1.8901249,2.4914625,5.3986721,0,3.1260505,3.180737,0,1.9951063,3.8556898,2.4436235,0,1.5595177,2.0210056,2.5272095,4.5345607
211,2.8590913,2.6533799,2.0945559,7.1850758,4.1531868,9.3734426,3.8918619,4.4661274,4.710722,4.989222,2.2000189,4.207027,2.6747622,3.9857702,1.3144341,2.4867716,2.7096252,0
212,1.3562429,1.5433074,2.4526265,4.3072605,3.7470834,0,3.9692385,3.1260505,0,4.0383348,2.0234013,3.6815159,2.4158881,2.8384085,1.5223922,2.4612889,2.4237449,3.9150393
213,2.2507281,2.1640255,2.6989083,2.9882624,3.8006339,5.2830176,4.1537027,3.4101186,3.4046068,3.8962662,2.6498928,3.550096,2.5418859,3.174335,1.3615509,2.3607826,2.924042,3.7995644
214,1.3562429,2.3045015,1.6942763,7.1503925,3.2591112,8.1362333,3.8713448,4.3986096,3.6389389,6.1287017,2.2668302,5.1705685,2.6806407,4.090941,1.5295078,2.4285808,2.7186832,0
215,16.173912,1.9977525,3.9469295,2.3219562,2.5278325,5.7487898,4.0239601,3.7199996,2.7380614,4.4851246,1.9531779,1.8035522,2.3442259,3.398473,2.1989453,1.4707589,3.0060315,4.0884819
216,5.09589,3.5394022,2.8615384,2.7861962,0,0,0,0,0,0,2.5170336,6.9699512,0,0,0,2.9827507,1.7632588,7.1773748
217,1.3562429,1.905827,2.4526265,1.8901249,3.5022418,0,4.1851387,3.1260505,3.0770085,3.3525035,2.066947,3.965219,2.684901,2.376626,1.3615509,2.7629755,2.6073697,4.0045581
218,5.09589,1.9590021,2.8615384,1.1552795,3.3865006,0,0,0,0,0,0,1.1698112,0,1.6426386,1.3420327,0,2.9023652,0
220,16.173912,1.8454202,1.5925965,3.6074467,0,5.9100752,4.7836127,4.80159,3.1295416,4.6984606,2.0040016,2.3402627,2.3039851,2.538986,2.3486855,1.7064022,3.0152695,4.0884819
221,16.173912,1.7581474,3.9469295,3.65131,2.3608017,5.9131341,0,5.0482707,2.8559897,4.214529,1.9531779,1.8035522,0,2.5505471,2.0711801,1.4707589,3.0145152,0
222,1.3562429,1.4587514,1.6942763,7.1595311,3.2591112,8.0643215,3.8713448,4.6902008,3.5232594,5.7200284,2.2668302,3.7827418,2.7543991,2.4744904,1.5295078,2.3486462,2.6709571,0
223,5.09589,5.0313849,2.8615384,1.1552795,0,0,0,0,0,0,0,1.1698112,0,0,0,1.3429602,2.9023652,0
224,3.9444313,1.2316201,3.7187932,1.1552795,0,4.4135852,0,3.4101186,0,0,2.2174668,2.4229963,0,0,1.2376943,1.7308789,2.3471889,0
225,5.09589,1.9815739,2.8615384,0,3.8706331,0,0,0,0,0,0,1.1698112,0,1.5658129,1.4621135,0,2.9023652,0
226,5.09589,1.8454077,2.8615384,1.1552795,3.8706331,0,0,0,0,0,0,1.1698112,0,1.6012572,1.4201503,1.2696246,2.9023652,0
227,1.3562429,1.4744251,1.6942763,4.2593694,0,0,0,3.1260505,0,0,2.1796107,3.4163935,0,0,1.6695117,2.4679754,2.6107085,0
