id_agree,rta_deep_std1,rta_deep_std2,rta_deep_std3,rta_deep_std4,rta_deep_std5,rta_deep_std6,rta_deep_std7,rta_deep_std8,rta_deep_std9,rta_deep_std10,rta_deep_std11,rta_deep_std12,rta_deep_std13,rta_deep_std14,rta_deep_std15,rta_deep_std16,rta_deep_std17,rta_deep_std18
1,16.173912,2.9392629,15.186835,3.4654057,2.9446013,0,0,4.4549341,3.1815069,5.4705882,0,0,2.4734771,2.3128831,3.7024968,0,3.5616059,6.8406386
2,27.424202,2.2612944,7.6188946,2.2106307,2.2778151,4.9533916,5.3332934,3.7199996,2.9338768,4.6197572,2.003376,1.4740449,2.1240005,2.7792094,3.01757,2.1831319,2.1168377,7.8582296
3,2.7574677,1.7475719,8.2274532,2.8656344,3.4998906,0,4.0507159,3.1260505,0,0,1.9324659,5.0657196,2.7542419,1.9149081,2.5543292,2.0997179,0,0
4,5.09589,2.3860383,5.1587114,0,0,0,0,4.6002088,2.9564519,5.4705882,2.2445383,2.2897618,2.251045,0,0,0,1.7152233,0
5,16.173912,2.9392629,15.186835,4.1454716,0,0,0,4.6833448,5.026907,5.4705882,0,0,2.7797899,2.4086039,2.9731426,5.4216185,3.5616059,6.8406386
6,2.1159716,2.0167644,2.5592158,1.1552795,2.4460754,0,0,3.7199996,0,5.4705882,2.1327732,1.1698112,0,1.6254425,2.473238,0,1.7339768,0
7,2.1159716,1.6894822,2.8615384,1.1552795,2.7100022,0,0,3.7199996,0,5.4705882,2.1184361,1.1698112,0,1.6254425,2.7191682,0,1.7339768,0
8,2.7081456,1.8649043,2.8615384,1.1552795,2.6329916,0,0,3.7199996,0,5.4705882,1.9671429,1.1698112,0,1.6426386,2.473238,0,1.7339768,0
9,5.6957951,2.9411154,9.7743216,1.1552795,4.9308977,41.33334,0,0,3.8331852,0,2.7352941,2.8387849,2.1340661,2.5960569,2.74859,2.7887087,2.5006113,6.4470224
10,1.061718,1.4455533,1.5119114,1.3244389,0,0,0,3.1260505,0,0,2.35695,1.7832354,1.987045,0,2.4625413,1.6497107,2.3053017,0
11,3.7428896,1.6281836,3.9578018,3.4081144,0,0,0,0,0,0,6.7682214,0,0,0,1.2396983,3.1000001,0,0
12,5.09589,1.4729275,2.8615384,1.6988981,0,0,0,0,0,0,2.2931337,1.1698112,0,0,2.0769165,0,1.7339768,0
13,16.173912,2.9392629,15.186835,0,3.8590479,0,0,4.6833448,5.026907,5.4705882,0,0,2.7797899,2.0152221,3.3719735,5.4216185,3.5616059,6.8406386
14,5.5076566,1.4729275,3.9578018,1.1552795,0,0,0,0,0,0,2.9776204,1.1698112,0,0,1.2380574,0,0,0
15,5.09589,1.7168449,2.8615384,2.018589,0,0,0,0,0,0,1.7811825,0,0,0,2.0423667,3.1589177,3.4444444,0
16,16.173912,1.3727489,4.6140919,3.0821757,2.5210059,0,4.3955221,0,0,7.9509697,1.8725663,1.1698112,2.5224276,2.3540111,1.9972013,1.3429602,1.6244541,0
17,2.2602437,1.6148844,1.5119114,1.3244389,2.4304702,0,0,0,0,4.6197968,2.9481001,2.4318635,0,0,2.7235484,1.3675501,0,0
18,16.173912,2.9392629,15.186835,0,3.8590479,0,0,4.6833448,5.026907,5.4705882,0,0,2.7797899,3.1138759,3.0955322,5.4216185,3.5616059,6.8406386
19,5.09589,1.5001853,2.8615384,0,0,0,0,3.1260505,0,0,1.9166371,0,0,0,0,0,0,0
20,12.48365,2.8226023,9.7743216,1.6518466,0,0,0,0,0,0,2.4450524,5.6106501,1.8151072,1.656675,1.4240214,0,3.1975648,0
21,4.7152038,3.2129774,1.3425143,1.4615719,2.0456188,7.7647047,4.3121195,0,2.9223683,0,2.133801,4.2015877,1.9178978,2.4308195,2.2840407,2.0701766,1.5494668,9.5130796
22,5.09589,1.3493948,2.8615384,0,0,0,0,0,0,0,0,0,0,2.0885918,0,1.2696246,0,0
24,5.09589,1.7136599,2.8615384,1.3244389,0,0,0,0,0,0,2.0180361,1.1698112,0,1.8319842,1.7838596,0,1.8791938,0
25,1.1742319,1.5999805,1.5119114,3.712111,0,0,0,0,0,0,1.9503418,3.88959,2.8474288,1.6677064,2.8685882,0,2.9060678,5.9787955
26,1.1742319,1.7438705,3.850174,2.2947621,2.8678012,4.939806,0,0,0,3.787822,1.8787663,1.1698112,0,1.8788925,2.7744818,1.4707589,2.0210295,0
27,7.0163441,2.0346231,7.4658852,5.3044639,3.7904377,6.0792346,3.7732961,3.4101186,3.8768647,6.2950397,2.6044307,5.3251867,2.6306658,3.7129273,3.25051,4.3365808,2.2751915,5.769134
28,16.173912,2.9392629,15.186835,0,2.9161048,0,0,4.6833448,5.026907,3.1978781,0,0,2.7797899,1.8992122,3.2609715,5.4216185,3.5616059,6.8406386
29,25.55374,3.4401338,2.5592158,5.5214572,4.632833,0,4.8325133,4.3369389,0,0,1.8903674,6.8599873,1.8305216,1.6677518,2.3478212,5.3654289,2.7432401,7.7245626
30,4.3765492,2.5575507,2.8615384,1.1552795,3.197093,6.3607483,0,0,0,3.1518633,1.9838165,1.1698112,0,2.3028204,3.1332192,6.8681688,1.9782327,0
31,3.1915581,1.7938232,2.8615384,1.1552795,3.8923123,2.8396947,0,3.7199996,0,3.596864,1.8836421,1.1698112,0,1.7584347,2.4025469,0,1.6847017,0
32,5.09589,1.3841931,2.8615384,1.1552795,2.9161048,0,0,0,0,5.4705882,0,1.1698112,0,0,1.5046433,0,2.3544302,0
33,1.1742319,2.0469122,2.8615384,1.3244389,3.7743452,0,0,0,0,4.55582,2.1090169,1.4740449,0,3.1190622,1.5692035,1.7064022,1.8775432,0
34,3.1969032,1.9132278,2.8615384,1.1552795,2.4054031,0,0,3.7199996,0,5.4705882,1.9665353,1.1698112,0,1.6798551,1.9289783,0,1.5376627,0
35,0,1.6163375,0,0,2.2530615,0,0,0,0,0,2.5370843,0,0,0,0,0,3.2722552,0
36,3.2094905,2.2297816,5.1587114,3.7366176,0,5.2394366,0,0,2.9589453,3.1518633,2.0937467,3.3055465,0,2.2451966,2.1989353,0,2.1487288,0
37,16.537416,1.8930891,13.583518,4.1714072,3.7999761,0,3.6979935,4.7148557,3.2374904,5.2402282,2.5726733,1.1698112,2.6105235,3.1089315,1.9097598,2.0395961,2.2964907,6.482399
38,5.09589,1.4729275,2.8615384,1.3244389,2.122555,0,0,0,0,0,1.9000275,0,0,0,1.4596628,0,1.7339768,0
39,3.1915581,1.8485746,2.8615384,1.3244389,3.1942089,2.8396947,0,0,0,3.1518633,1.8836421,1.3637081,0,2.0659516,2.1384699,1.5594511,1.788151,0
40,3.2094905,2.2654946,2.8615384,3.2799642,2.7474403,5.3513346,0,0,2.6204479,3.1518633,2.0146501,2.1180856,0,2.3275204,2.790956,3.8145115,1.931338,0
42,5.09589,1.74721,2.8615384,2.3937807,4.3297825,0,0,3.1260505,0,0,0,1.1698112,0,1.9381045,1.4201503,1.2696246,2.0322289,0
43,5.09589,1.74721,2.8615384,1.3244389,3.0160625,0,0,0,0,0,2.3895335,1.1698112,0,1.6012572,1.4201503,1.2696246,2.0322289,0
44,5.09589,1.9025707,2.8615384,1.1552795,3.2611516,0,0,0,0,0,2.3895335,1.1698112,0,1.6012572,1.4201503,1.2696246,2.0322289,0
45,10.540136,1.9570032,2.653753,1.3244389,3.7381911,0,0,0,0,3.1518633,2.3895335,3.9330277,0,1.6677518,2.0136714,1.8658154,1.9818076,7.6280627
46,5.09589,1.9025707,2.8615384,1.1552795,4.2580776,0,0,0,0,0,0,1.1698112,0,1.6284808,1.4201503,1.2696246,2.0322289,0
47,5.09589,2.1169105,2.8615384,3.7326303,0,0,0,0,0,0,0,7.5901937,0,2.1144645,2.4329233,1.5847589,0,0
48,3.654772,1.9489814,2.3227849,1.8369647,2.6003287,3.7782569,0,3.7199996,2.5012851,1.8693466,1.8836421,1.1698112,0,2.656852,2.4020553,1.4297954,1.8380203,0
49,5.8253436,1.5665511,3.957731,3.4081144,0,0,0,0,0,1.8693466,2.1107929,0,0,0,1.7256485,1.2696246,0,0
50,5.09589,2.710808,2.8615384,2.482049,2.9155607,0,0,0,4.3638253,1.8693466,3.3290808,7.8394847,0,2.2083755,2.6024585,1.3675501,1.7082021,0
51,1.7157536,1.8955697,4.602365,3.7269363,2.6358643,4.8557992,0,3.7199996,2.6229277,5.0749822,1.8836421,1.1698112,0,2.412951,2.6255443,1.6724153,1.8736577,0
